timestamp,P_A_kW,status_A,mode_A,comfort_violation_A,T_core_A,T_east_A,T_north_A,T_south_A,T_west_A,P_B_kW,SOC_B,TES_mode_B,comfort_violation_B,T_core_B,P_total_kW,feeder_utilization_pct,feeder_margin_kW,feeder_violated,P_A_ref_kW,P_B_ref_kW,SOC_B_target,attack_active
18436500,11.88463668209367,normal,nominal,1.5020875718375637,26.828146929080162,28.004068278033856,26.82095474710127,27.2271608035104,27.128019529624567,11.165855524372187,0.21446097398337094,2,0.0,24.024878261534468,23.050492206465858,46.100984412931716,26.949507793534142,False,8.000000070335256,12.000000019697062,0.6,False
18437400,11.84908405764297,normal,nominal,1.6048924821196524,26.89545144493843,28.09118974201766,26.900231341751407,27.33344989000716,27.19924750976395,11.110571553713626,0.21446097228495808,2,0.0,23.982760715893846,22.959655611356595,45.91931122271319,27.040344388643405,False,8.000000070335256,12.000000019697062,0.6,False
18438300,11.840000502058606,normal,nominal,1.6982214774410804,26.955231777418476,28.161546835904176,26.974563012943975,27.437970497910896,27.2635737855868,12.279118631591562,0.21446097054648366,2,0.0,24.003944692654386,24.119119133650166,48.23823826730033,25.880880866349834,False,8.000000070335256,12.000000019697062,0.6,False
18439200,11.872954045212172,normal,nominal,1.7892664846985014,27.0130577284217,28.221462041962013,27.04818600540625,27.545695646348804,27.328664516655238,11.447263768824444,0.21446096889058774,2,0.0,23.98852258804675,23.320217814036617,46.640435628073234,26.679782185963383,False,8.000000070335256,12.000000019697062,0.6,False
18440100,11.926475982177676,normal,nominal,1.8767743937558663,27.068007983422717,28.269942183783655,27.12280040251852,27.653821194508566,27.392525810790005,12.899505958468634,0.21446096719893984,2,0.0,24.00556402024131,24.825981940646308,49.651963881292616,25.174018059353692,False,8.000000070335256,12.000000019697062,0.6,False
18441000,11.979665517641665,normal,nominal,1.9630119775288932,27.122498788854273,28.31040755028539,27.1957983639129,27.767168018093855,27.456175188969155,12.696831450786993,0.21446096561158282,2,0.0,23.989328970484223,24.67649696842866,49.35299393685732,25.32350303157134,False,8.000000070335256,12.000000019697062,0.6,False
18441900,12.008110682738407,normal,nominal,2.044271584661672,27.175379797061566,28.342709315240825,27.265255367313955,27.87606409923643,27.517677759793912,11.948060134795627,0.21446096401311768,2,0.0,24.005028162534018,23.956170817534034,47.91234163506807,26.043829182465966,False,8.000000070335256,12.000000019697062,0.6,False
18442800,12.00518000513687,normal,nominal,2.1145793040803085,27.222326651942296,28.363370936299873,27.32755188246921,27.972912573446308,27.572155172163548,12.786018995248464,0.21446096245085364,2,0.0,23.986986440523424,24.791199000385333,49.58239800077067,25.208800999614667,False,8.000000070335256,12.000000019697062,0.9,False
18443700,11.980459223814623,normal,nominal,2.177005522712051,27.265403331138884,28.376015728081086,27.384841663470922,28.060095240773876,27.621666127383435,13.725865419699208,0.2144609609040047,2,0.0,23.993115988871864,25.70632464351383,51.41264928702767,24.29367535648617,False,8.000000070335256,12.000000019697062,0.9,False
18444600,11.952548257222357,normal,nominal,2.234775265716067,27.306156925620826,28.3853920332852,27.438464597159452,28.141385939634972,27.667701567163817,13.285496584765996,0.21446095937202453,2,0.0,23.995529072398483,25.238044841988355,50.47608968397671,24.761955158011645,False,8.000000070335256,12.000000019697062,0.9,False
18445500,11.964288970719526,normal,nominal,2.291974916248435,27.346602166417995,28.39862870539048,27.49013032080427,28.22040740916634,27.712131063214656,12.740700358016046,0.21446095785437608,2,0.0,23.991823517305704,24.70498932873557,49.40997865747114,25.29501067126443,False,8.000000070335256,12.000000019697062,0.9,False
18446400,11.985144207151553,normal,nominal,2.25324983485919,27.31029156737236,28.348106406842703,27.455825948074164,28.220879776589584,27.67789564055795,13.534085992699476,0.21446095631816392,2,0.0,23.959241600291364,25.51923019985103,51.03846039970206,24.48076980014897,False,8.000000070335256,12.000000019697062,0.9,False
