time_s,hour,agg_mode,theta,P_A_alloc,P_B_alloc,P_total_alloc,support_flag,P_A_kW,alpha_attack,Tz_A_core,Tz_A_east,Tz_A_north,Tz_A_south,Tz_A_west,comfort_viol_A,mode_A,P_B_kW,SOC_B,uMod_B,Tz_B_core,comfort_viol_B,P_total_kW
31500.0,8.75,NORMAL,0,19.12111039624097,23.87888960375903,43.0,False,19.8,0.0,22.550859509036552,23.13350293370655,23.283642735157297,23.24724669967373,23.72624190626589,0.0,NOMINAL,12.0,0.3683333333333334,2,23.671622817070414,0.0,31.8
32400.0,9.0,NORMAL,0,19.62177727736868,23.37822272263132,43.0,False,19.8,0.0,22.543538192000558,23.03917943556788,23.071308867281573,23.06946962010212,23.604397098148965,0.0,NOMINAL,12.0,0.3683333333333334,2,23.4478659534151,0.0,31.8
33300.0,9.25,NORMAL,0,19.972244094158075,23.027755905841925,43.0,False,19.8,0.0,22.546846605881207,22.826988935692544,22.991656695621643,22.943194599123277,23.42221464776301,0.0,NOMINAL,12.0,0.3683333333333334,2,23.4478659534151,0.0,31.8
34200.0,9.5,NORMAL,0,20.217570865910652,22.782429134089348,43.0,False,19.8,0.0,22.560025320266114,22.69084264833448,22.890064147159286,22.822759432303695,23.296402811811802,0.0,NOMINAL,12.0,0.3683333333333334,2,23.4478659534151,0.0,31.8
35100.0,9.75,NORMAL,0,20.389299606137456,22.610700393862544,43.0,False,19.8,0.0,22.48860236593184,22.62037677198488,22.94356453610802,22.570723772958075,23.21423635874834,0.0,NOMINAL,12.0,0.3683333333333334,2,23.4478659534151,0.0,31.8
36000.0,10.0,NORMAL,0,20.50950972429622,22.49049027570378,43.0,False,19.8,0.0,22.45402672326118,22.511319435216997,22.767378589400167,22.527848940899325,23.107105287140985,0.0,NOMINAL,12.0,0.3683333333333334,2,23.281608237241176,0.0,31.8
36900.0,10.25,NORMAL,0,20.593656807007353,22.406343192992647,43.0,False,19.8,0.0,22.49978475544472,22.505156902925137,22.74072800666806,22.508848598624763,22.996531288006665,0.0,NOMINAL,12.0,0.3683333333333334,2,23.281608237241176,0.0,31.8
37800.0,10.5,NORMAL,0,20.65255976490515,22.34744023509485,43.0,False,19.8,0.0,22.44286441456027,22.510325154923535,22.64974020536228,22.41851525129002,22.993727715669035,0.0,NOMINAL,12.0,0.3683333333333334,2,23.281608237241176,0.0,31.8
38700.0,10.75,NORMAL,0,20.693791835433604,22.306208164566396,43.0,False,19.8,0.0,22.38090424269853,22.58314286943383,22.701982568007544,22.383759911374874,22.979408356340716,0.0,NOMINAL,12.0,0.3683333333333334,2,23.281608237241176,0.0,31.8
39600.0,11.0,NORMAL,0,20.72265428480352,22.27734571519648,43.0,False,19.8,0.0,22.35531379287991,22.516440703046506,22.65810526000794,22.415512214953868,22.937969984655137,0.0,NOMINAL,12.0,0.3683333333333334,2,23.13438088351113,0.0,31.8
40500.0,11.25,NORMAL,0,20.742857999362464,22.257142000637536,43.0,False,19.8,0.0,22.40030114518496,22.52133746791437,22.6220082736477,22.52391078180479,22.96153906256232,0.0,NOMINAL,12.0,0.3683333333333334,2,23.13438088351113,0.0,31.8
41400.0,11.5,NORMAL,0,20.757000599553724,22.242999400446276,43.0,False,19.8,0.0,22.321871663990724,22.54267667093117,22.652038039524875,22.490218820907835,22.88576624368984,0.0,NOMINAL,12.0,0.3683333333333334,2,23.13438088351113,0.0,31.8
42300.0,11.75,NORMAL,0,20.766900419687605,22.233099580312395,43.0,False,19.8,0.0,22.345782442241497,22.486798498314855,22.624045593190417,22.47423705965446,22.915254366573592,0.0,NOMINAL,12.0,0.3683333333333334,2,23.13438088351113,0.0,31.8
43200.0,12.0,ATTACK_OPTIMIZE,3,28.565101860053147,14.434898139946853,43.0,True,19.200000000000003,0.95,22.839017305215698,22.4924915204721,22.578413926630915,22.530193520827307,22.775841633104168,0.0,COMFORT_PRIORITY,3.0,0.23500000000000007,1,23.00825345362235,0.0,22.200000000000003
44100.0,12.25,ATTACK_OPTIMIZE,3,26.67493796526055,15.0,41.674937965260554,True,19.200000000000003,0.95,23.386903315869766,22.440374420792917,22.522686448644183,22.511878206074748,22.655441950603024,0.0,COMFORT_PRIORITY,3.0,0.23500000000000007,1,23.00825345362235,0.0,22.200000000000003
45000.0,12.5,ATTACK_OPTIMIZE,3,26.67493796526055,15.0,41.674937965260554,True,19.200000000000003,0.95,23.907824956245324,22.475880669722514,22.501979572969017,22.626190824744537,22.559720523049656,0.0,COMFORT_PRIORITY,3.0,0.23500000000000007,1,23.00825345362235,0.0,22.200000000000003
45900.0,12.75,ATTACK_OPTIMIZE,3,26.67493796526055,15.0,41.674937965260554,True,19.200000000000003,0.95,24.43616884018225,22.43002227322382,22.49525821109394,22.54938405073429,22.45263038082126,0.4361688401822512,COMFORT_PRIORITY,3.0,0.23500000000000007,1,23.00825345362235,0.0,22.200000000000003
46800.0,13.0,ATTACK_OPTIMIZE,3,26.67493796526055,15.0,41.674937965260554,True,19.200000000000003,0.95,24.932201941525978,22.44433186075505,22.398444951012312,22.584744191952897,22.465711681859673,0.9322019415259781,COMFORT_PRIORITY,3.0,0.10166666666666674,1,22.91296486684603,0.0,22.200000000000003
47700.0,13.25,ATTACK_OPTIMIZE,3,25.019394879751744,15.0,40.019394879751744,True,19.200000000000003,0.95,25.50369984511187,22.45889293535978,22.49012022604274,22.581489196107306,22.455267616275517,1.5036998451118713,COMFORT_PRIORITY,3.0,0.10166666666666674,1,22.91296486684603,0.0,22.200000000000003
